stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
salaiCentre,,Salai Centre Stop,,33.7027395,73.066402,,,0,,,1
bankColony,,Bank Colony Stop,,33.7003844,73.0619449,,,0,,,1
rescue15,,Rescue 15 Stop,,33.6998374,73.0598123,,,0,,,1
qau,,Quaid-e-Azam University Stop,,33.7450283,73.1398105,,,0,,,1
babulQuaid,,Babul Quaid Stop,,33.7449966,73.1326729,,,0,,,1
cTypeQuaidEAzamColony,,C-Type Quaid-e-Azam Colony Stop,,33.7448369,73.1249584,,,0,,,1
dTypeQuaidEAzamColony,,D-Type Quaid-e-Azam Colony Stop,,33.7447221,73.120659,,,0,,,1
communityHealthCentre,,Community Health Centre Stop,,33.7445801,73.1173419,,,0,,,1
muhallahNooriBagh,,Muhallah Noori Bagh Stop,,33.7444219,73.1130878,,,0,,,1
tipuMarket,,Tipu Market Stop,,33.7011171,73.0433941,,,0,,,1
g94Park,,G-9/4 Park Stop,,33.6890295,73.0370618,,,0,,,1
margallaGroundG9,,Margalla Ground G-9 Stop,,33.6847833,73.0345901,,,0,,,1
g9Markaz,,G-9 Markaz Stop,,33.6898681,73.0302745,,,0,,,1
ibnESinaRoadG9,,Ibn-e-Sina Road G-9 Stop,,33.6977826,73.0362464,,,0,,,1
f9KhyberGate,,F-9 Park Khyber Gate Stop,,33.7101905,73.0213784,,,0,,,1
pafHospital,,PAF Hospital Stop,,33.7077932,73.0168326,,,0,,,1
pakistanGateDci,,Pakistan Gate DCI Stop,,33.703787,73.0092361,,,0,,,1
maroofInternationalHospital,,Maroof International Hospital Stop,,33.6978715,73.0124255,,,0,,,1
f10Markaz,,F-10 Markaz Stop,,33.6940732,73.0122906,,,0,,,1
imcbF104,,IMCB F-10/4 Stop,,33.6908244,73.0060487,,,0,,,1
f10f11Greenbelt,,F-10/ F-11 Greenbelt Stop,,33.6867382,72.9969564,,,0,,,1
majorRoadStop,,Major Road Stop,,33.6844287,72.9917639,,,0,,,1
f11Markaz,,F-11 Markaz Stop,,33.6825768,72.9889853,,,0,,,1
opf,,OPF Stop,,33.6865898,72.9839249,,,0,,,1
golraShareefF11,,Golra Sharif F-11 Stop,,33.6893956,72.9818364,,,0,,,1
golraShareefE11,,Golra Sharif Darbar Stop,,33.6879504,72.9760622,,,0,,,1
noriHospital,,NORI Hospital Stop,,33.6984547,73.053514,,,0,,,1
dentalHospital,,Dental Hospital Stop,,33.6996484,73.048884,,,0,,,1
g8Markaz,,G-8 Markaz Stop,,33.6989306,73.0474312,,,0,,,1
developmentPark,,Development Park Stop,,33.6954393,73.0478314,,,0,,,1
karachiCompany,,Karachi Company Stop,,33.68868,73.0346444,,,0,,,1
policeFlats,,Police Flats Stop,,33.6842814,73.0251417,,,0,,,1
collegeMorh,,College Morh Stop,,33.6811736,73.0190493,,,0,,,1
g10Markaz,,G-10 Markaz Stop,,33.6771506,73.0154211,,,0,,,1
phaFlats,,PHA Flats Stop,,33.675495,73.0125534,,,0,,,1
tankiStop,,Tanki Stop,,33.674178,73.0100168,,,0,,,1
greenbeltG10G11,,Greenbelt G-10/G-11 Stop,,33.6728327,73.0074547,,,0,,,1
instituteOfModernStudies,,Institute of Modern Studies Stop,,33.6717601,73.0028906,,,0,,,1
g11Markaz,,G-11 Markaz Stop,,33.6696951,72.9981643,,,0,,,1
mehrabad,,Mehrabad Stop,,33.6663282,72.9898202,,,0,,,1
